service_date,line,estimated_boardings,ObjectId
2020/06/22 04:00:00+00,Providence/Stoughton,447,1
2020/06/22 04:00:00+00,Newburyport/Rockport,697,2
2020/06/22 04:00:00+00,Framingham/Worcester,33,3
2020/06/22 04:00:00+00,Franklin/Foxboro,276,4
2020/06/22 04:00:00+00,Middleborough/Lakeville,601,5
2020/06/22 04:00:00+00,Lowell,421,6
2020/06/22 04:00:00+00,Haverhill,332,7
2020/06/22 04:00:00+00,Kingston,410,8
2020/06/22 04:00:00+00,Needham,55,9
2020/06/22 04:00:00+00,Fitchburg,486,10
2020/06/22 04:00:00+00,Greenbush,176,11
2020/06/22 04:00:00+00,Fairmount,157,12
2020/06/23 04:00:00+00,Providence/Stoughton,981,13
2020/06/23 04:00:00+00,Newburyport/Rockport,1137,14
2020/06/23 04:00:00+00,Framingham/Worcester,183,15
2020/06/23 04:00:00+00,Franklin/Foxboro,567,16
2020/06/23 04:00:00+00,Middleborough/Lakeville,752,17
2020/06/23 04:00:00+00,Lowell,607,18
2020/06/23 04:00:00+00,Haverhill,453,19
2020/06/23 04:00:00+00,Kingston,505,20
2020/06/23 04:00:00+00,Needham,85,21
2020/06/23 04:00:00+00,Fitchburg,546,22
2020/06/23 04:00:00+00,Greenbush,245,23
2020/06/23 04:00:00+00,Fairmount,168,24
2020/06/24 04:00:00+00,Providence/Stoughton,1311,25
2020/06/24 04:00:00+00,Newburyport/Rockport,1050,26
2020/06/24 04:00:00+00,Framingham/Worcester,183,27
2020/06/24 04:00:00+00,Franklin/Foxboro,577,28
2020/06/24 04:00:00+00,Middleborough/Lakeville,771.5,29
2020/06/24 04:00:00+00,Lowell,600,30
2020/06/24 04:00:00+00,Haverhill,455,31
2020/06/24 04:00:00+00,Kingston,432.5,32
2020/06/24 04:00:00+00,Needham,204,33
2020/06/24 04:00:00+00,Fitchburg,508,34
2020/06/24 04:00:00+00,Greenbush,245,35
2020/06/24 04:00:00+00,Fairmount,221,36
2020/06/25 04:00:00+00,Providence/Stoughton,1283,37
2020/06/25 04:00:00+00,Newburyport/Rockport,1223,38
2020/06/25 04:00:00+00,Framingham/Worcester,183,39
2020/06/25 04:00:00+00,Franklin/Foxboro,590,40
2020/06/25 04:00:00+00,Middleborough/Lakeville,787,41
2020/06/25 04:00:00+00,Lowell,658,42
2020/06/25 04:00:00+00,Haverhill,585,43
2020/06/25 04:00:00+00,Kingston,496,44
2020/06/25 04:00:00+00,Needham,257,45
2020/06/25 04:00:00+00,Fitchburg,531,46
2020/06/25 04:00:00+00,Greenbush,254,47
2020/06/25 04:00:00+00,Fairmount,234,48
2020/06/26 04:00:00+00,Providence/Stoughton,1239,49
2020/06/26 04:00:00+00,Newburyport/Rockport,1149.5,50
2020/06/26 04:00:00+00,Framingham/Worcester,212,51
2020/06/26 04:00:00+00,Franklin/Foxboro,569,52
2020/06/26 04:00:00+00,Middleborough/Lakeville,822,53
2020/06/26 04:00:00+00,Lowell,677.5,54
2020/06/26 04:00:00+00,Haverhill,493.5,55
2020/06/26 04:00:00+00,Kingston,498.5,56
2020/06/26 04:00:00+00,Needham,263,57
2020/06/26 04:00:00+00,Fitchburg,368.5,58
2020/06/26 04:00:00+00,Greenbush,291,59
2020/06/26 04:00:00+00,Fairmount,212,60
2020/06/29 04:00:00+00,Providence/Stoughton,1393,61
2020/06/29 04:00:00+00,Newburyport/Rockport,1233,62
2020/06/29 04:00:00+00,Framingham/Worcester,201,63
2020/06/29 04:00:00+00,Franklin/Foxboro,595.5,64
2020/06/29 04:00:00+00,Middleborough/Lakeville,700.5,65
2020/06/29 04:00:00+00,Lowell,661.5,66
2020/06/29 04:00:00+00,Haverhill,520.5,67
2020/06/29 04:00:00+00,Kingston,561,68
2020/06/29 04:00:00+00,Needham,247,69
2020/06/29 04:00:00+00,Fitchburg,516,70
2020/06/29 04:00:00+00,Greenbush,298,71
2020/06/29 04:00:00+00,Fairmount,201,72
2020/06/30 04:00:00+00,Providence/Stoughton,1552.5,73
2020/06/30 04:00:00+00,Newburyport/Rockport,1135,74
2020/06/30 04:00:00+00,Framingham/Worcester,201,75
2020/06/30 04:00:00+00,Franklin/Foxboro,726,76
2020/06/30 04:00:00+00,Middleborough/Lakeville,840,77
2020/06/30 04:00:00+00,Lowell,675,78
2020/06/30 04:00:00+00,Haverhill,559.5,79
2020/06/30 04:00:00+00,Kingston,567,80
2020/06/30 04:00:00+00,Needham,283.5,81
2020/06/30 04:00:00+00,Fitchburg,447,82
