service_date,route_or_line,gated_entries
2022-01-01,Blue Line,12075.9
2022-01-01,Green Line,13999.9
2022-01-01,Orange Line,23808.56
2022-01-01,Red Line,21574.34
2022-01-01,Silver Line,1256.3
2022-01-02,Blue Line,12667.7
2022-01-02,Green Line,14620.28
2022-01-02,Orange Line,26317.75
2022-01-02,Red Line,26362.27
2022-01-02,Silver Line,1324.0
2022-01-03,Blue Line,20020.9
2022-01-03,Green Line,20282.91
2022-01-03,Orange Line,45136.54
2022-01-03,Red Line,50630.95
2022-01-03,Silver Line,2794.7
2022-01-04,Blue Line,22065.4
2022-01-04,Green Line,22383.14
2022-01-04,Orange Line,52574.42
2022-01-04,Red Line,55455.94
2022-01-04,Silver Line,3089.1
2022-01-05,Blue Line,22097.8
2022-01-05,Green Line,22457.6
2022-01-05,Orange Line,52697.99
2022-01-05,Red Line,56807.81
2022-01-05,Silver Line,3034.8
2022-01-06,Blue Line,23534.8
2022-01-06,Green Line,23793.08
2022-01-06,Orange Line,55948.64
2022-01-06,Red Line,59684.18
2022-01-06,Silver Line,3083.3
2022-01-07,Blue Line,17046.0
2022-01-07,Green Line,16604.94
2022-01-07,Orange Line,33363.87
2022-01-07,Red Line,36378.29
2022-01-07,Silver Line,2095.9
2022-01-08,Blue Line,15688.6
2022-01-08,Green Line,20817.49
2022-01-08,Orange Line,32862.08
2022-01-08,Red Line,32484.93
2022-01-08,Silver Line,1535.9
2022-01-09,Blue Line,12523.6
2022-01-09,Green Line,14117.08
2022-01-09,Orange Line,22685.25
2022-01-09,Red Line,24027.07
2022-01-09,Silver Line,1399.0
2022-01-10,Blue Line,21676.6
2022-01-10,Green Line,23635.99
2022-01-10,Orange Line,54898.76
2022-01-10,Red Line,54340.55
2022-01-10,Silver Line,3070.1
2022-01-11,Blue Line,17087.5
2022-01-11,Green Line,18559.16
2022-01-11,Orange Line,39679.33
2022-01-11,Red Line,44051.31
2022-01-11,Silver Line,2755.7
2022-01-12,Blue Line,22635.9
2022-01-12,Green Line,23209.38
2022-01-12,Orange Line,55128.35
2022-01-12,Red Line,58725.37
2022-01-12,Silver Line,3091.0
2022-01-13,Blue Line,24743.1
2022-01-13,Green Line,24941.56
2022-01-13,Orange Line,59850.21
2022-01-13,Red Line,64491.53
2022-01-13,Silver Line,3275.6
2022-01-14,Blue Line,24531.5
2022-01-14,Green Line,26817.98
2022-01-14,Orange Line,59242.5
2022-01-14,Red Line,62093.12
2022-01-14,Silver Line,3220.9
2022-01-15,Blue Line,13777.5
2022-01-15,Green Line,21818.64
2022-01-15,Orange Line,31781.23
2022-01-15,Red Line,29531.93
2022-01-15,Silver Line,1730.7
2022-01-16,Blue Line,12778.1
2022-01-16,Green Line,19116.15
2022-01-16,Orange Line,25547.87
2022-01-16,Red Line,28064.68
2022-01-16,Silver Line,1499.2
2022-01-17,Blue Line,15454.1
2022-01-17,Green Line,20202.16
2022-01-17,Orange Line,34268.840000000004
2022-01-17,Red Line,34171.0
2022-01-17,Silver Line,2030.9
2022-01-18,Blue Line,24006.6
2022-01-18,Green Line,28481.49
2022-01-18,Orange Line,60717.81
2022-01-18,Red Line,63861.9
2022-01-18,Silver Line,3432.2000000000003
2022-01-19,Blue Line,23994.5
2022-01-19,Green Line,28851.35
2022-01-19,Orange Line,63522.14
2022-01-19,Red Line,66526.51
2022-01-19,Silver Line,3437.5
2022-01-20,Blue Line,23076.7
2022-01-20,Green Line,28266.02
2022-01-20,Orange Line,61090.65
2022-01-20,Red Line,66818.63
2022-01-20,Silver Line,3421.0
2022-01-21,Blue Line,23674.9
2022-01-21,Green Line,28324.829999999998
2022-01-21,Orange Line,60846.04
2022-01-21,Red Line,65154.83
2022-01-21,Silver Line,3140.4
2022-01-22,Blue Line,16686.5
2022-01-22,Green Line,23853.6
2022-01-22,Orange Line,39368.51
2022-01-22,Red Line,40049.19
2022-01-22,Silver Line,1124.2
2022-01-23,Blue Line,13086.9
2022-01-23,Green Line,16701.0
2022-01-23,Orange Line,28489.58
2022-01-23,Red Line,32915.12
2022-01-23,Silver Line,1149.4
2022-01-24,Blue Line,23015.1
2022-01-24,Green Line,24311.61
2022-01-24,Orange Line,62877.85
2022-01-24,Red Line,69326.14
2022-01-24,Silver Line,3234.3
2022-01-25,Blue Line,24788.2
2022-01-25,Green Line,28260.3
2022-01-25,Orange Line,66041.71
2022-01-25,Red Line,75416.79
2022-01-25,Silver Line,3593.0
2022-01-26,Blue Line,24499.3
2022-01-26,Green Line,26266.0
2022-01-26,Orange Line,63053.2
2022-01-26,Red Line,72264.5
2022-01-26,Silver Line,3722.0
2022-01-27,Blue Line,24949.5
2022-01-27,Green Line,29537.0
2022-01-27,Orange Line,65039.76
2022-01-27,Red Line,73218.54
2022-01-27,Silver Line,3961.2
2022-01-28,Blue Line,26496.9
2022-01-28,Green Line,33020.61
2022-01-28,Orange Line,66464.49
2022-01-28,Red Line,77235.7
2022-01-28,Silver Line,3863.3
2022-01-29,Blue Line,3728.2
2022-01-29,Green Line,5186.21
2022-01-29,Orange Line,8592.89
2022-01-29,Red Line,9271.5
2022-01-29,Silver Line,416.2
2022-01-30,Blue Line,4594.4
2022-01-30,Green Line,20014.6
2022-01-30,Orange Line,24813.05
2022-01-30,Red Line,25207.35
2022-01-30,Silver Line,1365.6
2022-01-31,Blue Line,22847.4
2022-01-31,Green Line,31460.87
2022-01-31,Orange Line,63200.39
2022-01-31,Red Line,71446.84
2022-01-31,Silver Line,3343.5
2022-02-01,Blue Line,25676.8
2022-02-01,Green Line,33086.33
2022-02-01,Orange Line,68341.8
2022-02-01,Red Line,79462.57
2022-02-01,Silver Line,3775.5
2022-02-02,Blue Line,26646.6
2022-02-02,Green Line,33506.08
2022-02-02,Orange Line,71084.33
2022-02-02,Red Line,81253.99
2022-02-02,Silver Line,3627.0
2022-02-03,Blue Line,26373.3
2022-02-03,Green Line,32968.25
2022-02-03,Orange Line,68936.77
2022-02-03,Red Line,81069.88
2022-02-03,Silver Line,3620.8
2022-02-04,Blue Line,20073.1
2022-02-04,Green Line,28747.69
2022-02-04,Orange Line,50686.68
2022-02-04,Red Line,58372.93
2022-02-04,Silver Line,3096.6
2022-02-05,Blue Line,17554.4
2022-02-05,Green Line,32440.73
2022-02-05,Orange Line,41630.22
2022-02-05,Red Line,46718.65
2022-02-05,Silver Line,2119.0
2022-02-06,Blue Line,12807.3
2022-02-06,Green Line,20736.89
2022-02-06,Orange Line,28483.65
2022-02-06,Red Line,33548.06
2022-02-06,Silver Line,1673.1
2022-02-07,Blue Line,24914.8
2022-02-07,Green Line,31762.82
2022-02-07,Orange Line,69371.23
2022-02-07,Red Line,76773.85
2022-02-07,Silver Line,3727.3
2022-02-08,Blue Line,26689.0
2022-02-08,Green Line,33486.01
2022-02-08,Orange Line,71579.12
2022-02-08,Red Line,82795.27
2022-02-08,Silver Line,4113.6
2022-02-09,Blue Line,27555.8
2022-02-09,Green Line,34355.56
2022-02-09,Orange Line,71117.73
2022-02-09,Red Line,85997.81
2022-02-09,Silver Line,4221.1
2022-02-10,Blue Line,28332.6
2022-02-10,Green Line,35892.29
2022-02-10,Orange Line,74832.59
2022-02-10,Red Line,86759.92
2022-02-10,Silver Line,3804.6
2022-02-11,Blue Line,29222.6
2022-02-11,Green Line,39467.32
2022-02-11,Orange Line,75188.79
2022-02-11,Red Line,85391.49
2022-02-11,Silver Line,2827.8
2022-02-12,Blue Line,21424.7
2022-02-12,Green Line,38469.63
2022-02-12,Orange Line,51354.27
2022-02-12,Red Line,58656.1
2022-02-12,Silver Line,1832.3
2022-02-13,Blue Line,13310.1
2022-02-13,Green Line,23095.77
2022-02-13,Orange Line,31886.33
2022-02-13,Red Line,34473.1
2022-02-13,Silver Line,1483.7
2022-02-14,Blue Line,25173.2
2022-02-14,Green Line,35304.98
2022-02-14,Orange Line,69349.63
2022-02-14,Red Line,76903.59
2022-02-14,Silver Line,3743.6
2022-02-15,Blue Line,25498.3
2022-02-15,Green Line,32441.82
2022-02-15,Orange Line,68370.56
2022-02-15,Red Line,80822.12
2022-02-15,Silver Line,3931.2
2022-02-16,Blue Line,25514.4
2022-02-16,Green Line,35613.34
2022-02-16,Orange Line,74687.15
2022-02-16,Red Line,86639.71
2022-02-16,Silver Line,3933.4
2022-02-17,Blue Line,27816.0
2022-02-17,Green Line,36552.55
2022-02-17,Orange Line,74685.2
2022-02-17,Red Line,89369.65
2022-02-17,Silver Line,4554.6
2022-02-18,Blue Line,27934.0
2022-02-18,Green Line,38251.09
2022-02-18,Orange Line,74773.79
2022-02-18,Red Line,85155.22
2022-02-18,Silver Line,3879.9
2022-02-19,Blue Line,19947.7
2022-02-19,Green Line,32415.08
2022-02-19,Orange Line,30363.7
2022-02-19,Red Line,53980.12
2022-02-19,Silver Line,1752.3999999999999
2022-02-20,Blue Line,14926.8
2022-02-20,Green Line,26186.03
2022-02-20,Orange Line,20251.9
2022-02-20,Red Line,42002.17
2022-02-20,Silver Line,1617.1
