service_date,line,otp_numerator,otp_denominator,otp_score
2016-01-01,Blue Line,22641.186999999998,24358.309,0.9295056976245764
2016-01-01,Fairmount Line,33.0,34.0,0.9705882352941176
2016-01-01,Fitchburg Line,13.0,16.0,0.8125
2016-01-01,Framingham/Worcester Line,18.0,18.0,1.0
2016-01-01,Franklin Line,13.0,14.0,0.9285714285714286
2016-01-01,Green Line,4878.0346,6580.9814,0.7412320903991615
2016-01-01,Greenbush Line,16.0,16.0,1.0
2016-01-01,Haverhill Line,11.0,12.0,0.9166666666666666
2016-01-01,Kingston/Plymouth Line,16.0,16.0,1.0
2016-01-01,Lowell Line,14.0,16.0,0.875
2016-01-01,Lowell Line Shuttle,14.0,16.0,0.875
2016-01-01,Middleborough/Lakeville Line,16.0,16.0,1.0
2016-01-01,Newburyport/Rockport Line,25.0,26.0,0.9615384615384616
2016-01-01,Orange Line,131766.15,137395.58,0.9590275757051283
2016-01-01,Providence/Stoughton Line,14.0,14.0,1.0
2016-01-01,Red Line,184012.74,210970.52000000002,0.8722201566361024
2016-01-01,Silver Line,5417.0,6173.0,0.877531184189211
2016-01-01,Worcester Line Shuttle,36.0,36.0,1.0
2016-01-02,Blue Line,17349.18,17894.77,0.9695112035527699
2016-01-02,Fairmount Line,31.0,34.0,0.9117647058823529
2016-01-02,Fitchburg Line,16.0,16.0,1.0
2016-01-02,Framingham/Worcester Line,17.0,18.0,0.9444444444444444
2016-01-02,Franklin Line,17.0,18.0,0.9444444444444444
2016-01-02,Green Line,5408.2341,7168.2988,0.7544654946582305
2016-01-02,Greenbush Line,15.0,16.0,0.9375
2016-01-02,Haverhill Line,10.0,12.0,0.8333333333333334
2016-01-02,Kingston/Plymouth Line,16.0,16.0,1.0
2016-01-02,Lowell Line,14.0,16.0,0.875
2016-01-02,Lowell Line Shuttle,14.0,16.0,0.875
2016-01-02,Middleborough/Lakeville Line,16.0,16.0,1.0
2016-01-02,Needham Line,17.0,18.0,0.9444444444444444
2016-01-02,Newburyport/Rockport Line,25.0,26.0,0.9615384615384616
2016-01-02,Orange Line,72697.66,75362.49,0.9646398360776031
2016-01-02,Providence/Stoughton Line,14.0,18.0,0.7777777777777778
2016-01-02,Red Line,117118.7,131984.2,0.8873690941794548
2016-01-02,Silver Line,5896.0,7057.0,0.8354824996457418
2016-01-02,Worcester Line Shuttle,34.0,36.0,0.9444444444444444
2016-01-03,Blue Line,11905.98,12538.76,0.9495340847101308
2016-01-03,Fairmount Line,34.0,34.0,1.0
2016-01-03,Fitchburg Line,16.0,16.0,1.0
